Account Name,Account ID,Tier,NTEE code,EIN,One time donations amount,Recurring donations amount,Total Donations Amount,FRU - Sector,FRU - Subsector
Creative Grounds Fine Arts Academy,AHRXBMXK,Tier 6 (<$5K),,,"$14,747","$26,601","$41,348",Arts & Culture,Arts & Culture - General
NOISE FOR NOW,AKQJVZFG,Tier 6 (<$5K),R62: Right to Life,82-5076545,"$17,300","$24,029","$41,329",Human Services,"Human Services - Civil Rights, Social Justice"
Fix West Texas,APUMNKMQ,Tier 6 (<$5K),D20,84-4108520,"$8,849","$32,387","$41,236",Animal Welfare,Animal Welfare - General
Muslim Youth Helpline,ASCRWULH,Tier 6 (<$5K),,,"$21,652","$19,560","$41,212",,
AutismBC,ASCDAMXF,Tier 6 (<$5K),,,"$36,364","$4,830","$41,193",,
Love Out Loud,ABPDYTCQ,Tier 6 (<$5K),P20,47-4085418,"$34,634","$6,539","$41,173",,
Tzu Chi USA - Northeast Region,AYDBYMDF,,,,"$40,437",$718,"$41,155",,
Harlem United,ABFSUYNX,Tier 6 (<$5K),"P70: Residential, Custodial Care (Group Home)",,"$37,722","$3,429","$41,151",Human Services,"Human Services - Housing, Shelter"
The TraRon Center,ANKDLUNW,Tier 6 (<$5K),P60: Emergency Assistance,82-3648072,"$36,892","$4,148","$41,040",Human Services,Human Services - General
Shenandoah Valley Bicycle Coalition,ASZQGTSG,Tier 6 (<$5K),N31: Community Recreational Centers,34-2016415,"$30,649","$10,365","$41,014",Human Services,Human Services - Sports & Youth Development
VillageReach,AMXLMMGN,Tier 3 ($20K–$50K),"I72: Child Abuse, Prevention of",91-2083484,"$40,886",$38,"$40,924",Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
Feeding Charlotte,AWFCKSCV,Tier 6 (<$5K),"K30: Food Service, Free Food Distribution Programs",84-3548764,"$28,605","$12,288","$40,893",Food & Nutrition,Food Banks
Hip Hop Public Health,AWLCDQVX,Tier 6 (<$5K),P99,80-0722635,"$39,261","$1,445","$40,706",,
Linkoutside,ADYYXRZW,Tier 6 (<$5K),,,"$18,536","$22,147","$40,683",,
Sakeenah US,AAUMLEQM,Tier 5 ($5K–10K),P60: Emergency Assistance,92-2687335,"$38,328","$2,257","$40,585",Human Services,Human Services - General
Jannah Institute,AFCDMLND,,X40,45-3982240,"$37,325","$3,248","$40,573",Religion,Religion - Islamic
Running Start,ARCBNMMN,Tier 5 ($5K–10K),"N60: Amateur Sports Clubs, Leagues",20-8666097,"$37,339","$3,110","$40,449",Human Services,Human Services - Sports & Youth Development
United Way Quad Cities,AJPMZQFY,,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",36-2725960,"$39,726",$709,"$40,436",Public and Society Benefit,Public & Society Benefit - General
Sunrise Community for Recovery and Wellness,ADMLBBAZ,Tier 6 (<$5K),F20,20-5775122,"$38,124","$2,264","$40,388",,
An Open Book,ASKWCTUG,Tier 6 (<$5K),B19,27-4234601,"$36,979","$3,281","$40,260",Education,Education - General
First Tee — Southeast Wisconsin,ADKMGGUW,Tier 6 (<$5K),,,"$32,642","$7,524","$40,166",,
Vernon Christian School,AVNUXGNF,Tier 4 ($10K–$20K),,,"$37,392","$2,664","$40,056",Human Services,Human Services - Sports & Youth Development
LOFT Community Services,ANWPSQAM,Tier 6 (<$5K),,,"$39,882",$98,"$39,980",,
Literacy International,ACTSMDWU,,B90,83-0869145,"$37,049","$2,853","$39,903",,
Renew the Arts,AUNASMJF,Tier 6 (<$5K),"A31: Film, Video",82-3065937,"$14,031","$25,737","$39,768",Arts & Culture,Arts & Culture - Media
Tostan,AHNQVEPR,Tier 6 (<$5K),"Q30: International Development, Relief Services",98-0118876,"$23,702","$16,020","$39,722",International Affairs,International Affairs - General
Broadway Hearts,ALXRXLGK,,E86: Patient Services,83-2822482,"$38,563","$1,149","$39,712",Healthcare,Healthcare - General
SMASH,AQLSSCNZ,Tier 4 ($10K–$20K),"R20: Civil Rights, Advocacy for Specific Groups",,"$30,859","$8,825","$39,684",Human Services,"Human Services - Civil Rights, Social Justice"
LevAvi,ASRGQYTR,Tier 6 (<$5K),D20: Animal Protection and Welfare,,"$30,311","$9,353","$39,664",Animal Welfare,Animal Welfare - General
Piece by Piece,ATBXANHU,Tier 6 (<$5K),"A25: Arts Education, Schools of Art",20-8348198,"$37,175","$2,461","$39,636",Arts & Culture,Arts & Culture - General
YWCA Canada,AWKDMZVB,Tier 6 (<$5K),,,"$33,817","$5,811","$39,629",,
Providence Healthcare,ATEBAMDB,,,,"$39,192",$406,"$39,598",,
Заедно в час / Teach For Bulgaria,AQUYRMLT,,,,"$37,507","$2,048","$39,555",,
,AYUUBTJZ,,,,$0,$22,$22,,
Friends of the Earth,AYXSFGEE,Tier 3 ($20K–$50K),C01,23-7420660,"$34,196","$5,378","$39,574",,
VOA Northern Rockies,AFRDGGMY,Tier 6 (<$5K),S80: Community Service Clubs,,"$14,596","$24,881","$39,477",Public and Society Benefit,Public & Society Benefit - General
Upbeat NYC Inc,AWDBWZRG,,A68,27-2232366,"$37,112","$2,334","$39,446",,
Dogs Playing for Life! Inc,ACMYDYJX,,D60: Other Services-Specialty Animals,46-5559418,"$17,688","$21,683","$39,371",Animal Welfare,Animal Welfare - General
Appalshop,AEBTUXJK,,"A31: Film, Video",61-0890210,"$34,295","$4,985","$39,280",Arts & Culture,Arts & Culture - Media
TLAfrica,ABNNTSUW,Tier 6 (<$5K),B60,26-2517354,"$29,564","$9,697","$39,260",Education,Higher Education
Anawim House,AHURZJBX,,,,"$37,254","$2,000","$39,254",,
The Apollo Theater,AMUVSGCT,Tier 4 ($10K–$20K),A61: Performing Arts Centers,13-3630066,"$37,932",$988,"$38,920",Arts & Culture,Arts & Culture - General
PUSH Buffalo,AVGVCJYF,,,,"$38,305",$609,"$38,914",,
VOA Florida,AGTSLPPQ,,P20: Human Service Organizations,,"$31,036","$7,842","$38,878",Human Services,Human Services - General
Friendship Circle International,AWVAAHGM,Tier 4 ($10K–$20K),X30: Jewish,27-1827441,"$37,660","$1,207","$38,867",Religion,Religion - Jewish
Shelanu TV,AEPNLAXK,,,,"$25,086","$13,776","$38,862",,
Voice of Hope,AURFEPWW,Tier 5 ($5K–10K),X20: Christian,75-1850380,"$26,176","$12,518","$38,694",Religion,Religion - Christian
Sportable,ALWQFPZR,Tier 6 (<$5K),"N60: Amateur Sports Clubs, Leagues",20-8924701,"$31,132","$7,543","$38,674",Human Services,Human Services - Sports & Youth Development
Parkinson's Wellness Fund,ABEHMSHC,Tier 6 (<$5K),P30: Childrens and Youth Services,,"$23,804","$14,776","$38,580",Human Services,Human Services - General
Language Connects Foundation,ARAFMQAT,Tier 5 ($5K–10K),B03,88-3775364,"$29,831","$8,471","$38,302",Education,Education - General
Rosie’s Farm Sanctuary,AEUCTAAA,Tier 6 (<$5K),"D34: Wildlife Sanctuary, Refuge",,"$26,459","$11,764","$38,223",Animal Welfare,Animal Welfare - General
Rancho San Antonio,AFXVQGWP,Tier 5 ($5K–10K),,,"$31,301","$6,863","$38,164",,
Army Scholarship Foundation,AYVRLGJD,,"B82: Scholarships, Student Financial Aid Services",74-2996331,"$35,898","$2,229","$38,126",Education,Education - General
Salisbury Hospice Charity,ARQLMERK,,,,"$37,457",$659,"$38,117",,
The Family Place Utah,ASMMCMYJ,Tier 6 (<$5K),,87-0398053,"$37,929",$64,"$37,993",Human Services,Human Services - General
The Economist Educational Foundation US Fund,AFQXKXDH,,,,"$37,657",$266,"$37,923",,
Israeli-American Civic Action Network,ATRBZSVG,Tier 6 (<$5K),R40,83-2125118,"$37,868",$0,"$37,868",,
IGNITE National,AMSDNBHR,,,,"$37,845",$0,"$37,845",,
SAFE Inc.,AVTTPYFF,,,,"$31,116","$6,716","$37,832",,
New Life Recovery Ministries,AUBPFSJU,,P99,84-2807112,"$29,122","$8,671","$37,793",,
Partners in Kind Foundation,ANHFEFUG,,F30,92-3149172,"$37,742",$0,"$37,742",Healthcare,"Healthcare - Mental Health, Abuse"
Realness Project,ADWSAPYZ,Tier 6 (<$5K),I40: Rehabilitation Services for Offenders,83-1629445,"$8,715","$29,019","$37,735",Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
afikra,APMNHJMB,Tier 6 (<$5K),T20: Private Foundations,,$0,"$37,727","$37,727",Public and Society Benefit,Public & Society Benefit - General
Broome Street Ganesha Temple,AHTBWKAZ,Tier 5 ($5K–10K),X00: Religion: General,,"$32,684","$5,015","$37,700",Religion,Religion - General
Shalem Society for Senior Citizens Care,APSKVZFF,Tier 6 (<$5K),,,"$27,245","$10,366","$37,611",,
Water4Life Mozambique,ALNJFTXR,Tier 6 (<$5K),Q33,46-5373602,"$21,460","$16,128","$37,588",International Affairs,International Affairs - General
RISE Institute,AURXBZXM,,B20,80-0676667,"$37,340",$198,"$37,538",,
Pro Esteros,AXRYVZKL,,,,"$37,523",$0,"$37,523",,
VOA Chesapeake & Carolinas,APWYKKEA,,P20: Human Service Organizations,,"$32,063","$5,371","$37,434",Human Services,Human Services - General
Dachshund Rescue Australia,ATBHZXPP,Tier 6 (<$5K),,,"$19,979","$17,390","$37,368",,
Food4Education,AAYYFNFF,,,,"$35,989","$1,345","$37,334",,
"Nariz Roja, A.C.",AZQSQXFS,,,,"$25,452","$11,832","$37,285",,
Biodiversity for a Livable Climate,AERQYSSN,Tier 6 (<$5K),C60,46-4207099,"$19,589","$17,600","$37,189",Environment,Environment - General
OCH Foundation,ACAHHPLR,Tier 6 (<$5K),,,"$36,519",$443,"$36,962",,
Indianapolis Youth Orchestra,AVRSUGEJ,Tier 6 (<$5K),A69: Symphony Orchestras,35-1555374,"$28,570","$8,370","$36,940",Arts & Culture,Arts & Culture - General
VOA Upstate New York,AHZFAQNB,,P20: Human Service Organizations,,"$31,636","$5,277","$36,913",Human Services,Human Services - General
PAC,AAMPFXRL,,Y99,37-1774416,"$21,136","$15,713","$36,849",,
Fondation Rideau Hall Foundation,AMSUXUTP,Tier 6 (<$5K),,,"$33,006","$3,805","$36,811",,
Baja Safe Humane Society Fund for San Jose de Los Cabos,AJGDUMFJ,,,,"$36,463",$318,"$36,781",,
ABSA,AJYWGKSQ,,,,"$36,455",$304,"$36,758",,
USA Basketball Foundation,AWMFVMNG,Tier 6 (<$5K),N70: Amateur Sports Competitions,83-3784732,"$29,356","$7,391","$36,747",Human Services,Human Services - Sports & Youth Development
Political Prisoners Support. Memorial,AYSCRRVD,,,,"$30,162","$6,575","$36,737",,
XXEl Sistema Colorado,ADWGTXUY,,,,"$27,434","$9,167","$36,601",,
Big Life UK,AHMXDAYE,,,,"$16,298","$20,256","$36,555",,
Korle-Bu Foundation,AWJHUEGR,Tier 5 ($5K–10K),,,"$25,177","$11,319","$36,496",,
Central Oklahoma Habitat for Humanity,AJBPQQCA,Tier 6 (<$5K),L80,73-1305668,"$31,910","$4,451","$36,361",Human Services,"Human Services - Housing, Shelter"
Thembalitsha US,AVUVJQEX,Tier 6 (<$5K),,,"$27,658","$8,703","$36,360",,
The Alkare Foundation,ANCNDEQX,Tier 6 (<$5K),A6C,84-1516291,"$30,134","$6,053","$36,187",Arts & Culture,Arts & Culture - General
Helping Little Angels,ACWBJEZF,,,,"$24,717","$11,453","$36,170",,
Health For All,ALMSASQY,Tier 6 (<$5K),"E32: Ambulatory Health Center, Community Clinic",74-2624477,"$29,029","$6,979","$36,008",Healthcare,Healthcare - General
The Arts Council of Greater Greensboro,AGFRRKVP,Tier 6 (<$5K),,,"$28,988","$7,009","$35,997",,
El Faro,ARBHSLJJ,,,,"$5,518","$30,473","$35,991",,
OBAT Helpers Inc.,ACPHHEZE,Tier 6 (<$5K),Q33,47-0946122,"$26,288","$9,674","$35,963",International Affairs,International Affairs - General
The Palestinian Students Scholarship Fund,AXKJRYNQ,,B82,82-1660900,"$35,310",$609,"$35,918",,
UK - Elton John AIDS Foundation,ALJNKYCS,,,,"$28,141","$7,751","$35,891",,
End Hunger In Calvert County,AUUQXTXG,Tier 6 (<$5K),K31,80-0456174,$0,"$35,805","$35,805",Food & Nutrition,Food Banks
Partners for HOME,AFTYLXFL,Tier 3 ($20K–$50K),L41,47-3476724,"$33,079","$2,579","$35,658",Human Services,"Human Services - Housing, Shelter"
Alliance for Positive Change,ABKLZHXP,Tier 6 (<$5K),G81: HIV / AIDS,,"$30,095","$5,555","$35,650",Healthcare,Healthcare - General
The Icla da Silva Foundation,AUEBPKJH,Tier 6 (<$5K),E00: Health Care: General,13-3677332,"$24,383","$11,227","$35,610",Healthcare,Healthcare - General
Tibyan Community Center,AVXVZYPT,Tier 6 (<$5K),O50,86-2030645,"$26,468","$9,139","$35,607",,
YIMBY,AWPSBJTU,Tier 5 ($5K–10K),,,"$13,782","$21,791","$35,573",,
Clayoquot Action,AYCMEHXS,Tier 6 (<$5K),,,"$13,276","$22,292","$35,568",,
Backyard Growers,AJUUMWTB,Tier 6 (<$5K),K30,47-1553021,"$33,776","$1,769","$35,544",Food & Nutrition,Food - General
Active Discovery,ALYEWSLX,Tier 6 (<$5K),,,"$25,816","$9,520","$35,335",International Affairs,International Affairs - General
Bridge Builder Communities,AZHSZRJN,,"P84: Ethnic, Immigrant Centers and Services",85-3240077,"$26,420","$8,889","$35,309",Human Services,"Human Services - Housing, Shelter"
100 Who Care Tecate,ATQWXESX,,,,"$16,289","$19,001","$35,289",,
Project Bastian - PSM,ADYTNRFB,,,,"$14,040","$21,206","$35,245",,
Meadow E. Goodman Foundation for Mental Health Awareness Inc,AWVAQSTQ,,F12,33-2241150,"$35,177",$0,"$35,177",,
Alive & Kickin,ASVVFDYU,Tier 6 (<$5K),A60,27-3372211,"$21,120","$14,019","$35,139",,
Pro Mujer,ADWTRVHT,Tier 4 ($10K–$20K),Q300,98-0115409,"$34,993",$114,"$35,107",International Affairs,International Affairs - General
Washington Ireland Program,AFUQVJEZ,,,,"$35,068",$0,"$35,068",,
UNITI,ACAWPPVP,,,,"$34,771",$249,"$35,019",,
Missing People,APTNTFDS,Tier 6 (<$5K),,,"$33,456","$1,519","$34,975",,
FND Hope INT,AHVHYHEL,Tier 6 (<$5K),,,"$33,366","$1,592","$34,959",,
Pickens County Meals on Wheels,AFTHWNWX,Tier 6 (<$5K),"K30: Food Service, Free Food Distribution Programs",57-0708817,"$18,814","$16,139","$34,953",Food & Nutrition,Food Banks
Aspire of Western New York,ANUUJEHS,Tier 6 (<$5K),L80,16-0757756,"$33,068","$1,812","$34,880",,
Patient-led Research Collaborative,AUWAAPUC,,,,"$20,221","$14,603","$34,825",,
Rebuilding Together SF,ASCLPTNF,Tier 6 (<$5K),,,"$34,235",$539,"$34,774",,
Amref Health Africa in Canada,APVFTRHZ,Tier 6 (<$5K),,,"$27,599","$7,174","$34,773",,
Senior Services for South Sound,ARNKLJJD,,P81: Senior Centers and Services,91-0907573,"$34,176",$574,"$34,750",Human Services,"Human Services - Housing, Shelter"
"The Palapa Society of Todos Santos, A.C.",AFKBDLKS,Tier 5 ($5K–10K),,,$0,"$34,676","$34,676",,
Arohanui Hospice,ABGLFDCK,Tier 6 (<$5K),,,"$32,374","$2,198","$34,572",,
Proyecto Infans,AYPJPTBU,,P80: Services to Promote the Independence of Specific Population Groups,,"$6,480","$28,068","$34,548",Human Services,"Human Services - Housing, Shelter"
Alzheimer Society of Durham Region,AWWLXRHF,,,,"$34,528",$0,"$34,528",,
One Million Wells,AKWBUUYX,Tier 6 (<$5K),"C32: Water Resource, Wetlands Conservation and Management",82-1963744,"$28,923","$5,498","$34,420",Environment,Environment - General
The Community Grocer,AJUYYFHL,Tier 6 (<$5K),,,"$31,649","$2,731","$34,380",Food & Nutrition,Food Banks
VOA Texas,AUCZEHLE,,S80: Community Service Clubs,,"$32,242","$2,099","$34,341",Public and Society Benefit,Public & Society Benefit - General
Episcopal Migration Ministries,APXWVNXS,,,,"$29,351","$4,936","$34,287",,
Profound Autism Alliance,AHUWWEBE,Tier 6 (<$5K),T20: Private Foundations,92-0405006,"$26,081","$8,160","$34,241",Public and Society Benefit,Public & Society Benefit - General
Rebuilding Together DC Alexandria,AWQHEYCX,Tier 5 ($5K–10K),,54-1389286,"$24,613","$9,618","$34,231",Human Services,"Human Services - Housing, Shelter"
One To World,LLKLSKYZ,Tier 6 (<$5K),Q220,13-3179151,"$32,183","$2,032","$34,214",International Affairs,International Affairs - General
Children's Literacy Initiative,ACXYDQGJ,Tier 6 (<$5K),B92Z,23-2515768,"$32,979","$1,176","$34,155",,
VOA Southeast Louisiana,APCWKATP,,P20: Human Service Organizations,,"$28,726","$5,312","$34,038",Human Services,Human Services - General
Freedom Insight,AXQKJWZB,,Q70,45-2549797,"$29,286","$4,735","$34,020",,
Justice and Soul Foundation,AGEUWGGW,Tier 6 (<$5K),I02: Crime and Legal-Related Management and Technical Assistance,45-2595615,"$12,866","$21,044","$33,910",Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
Hit The Ground Running,AVXEKLRF,Tier 6 (<$5K),,87-4687658,"$32,470","$1,436","$33,907",,
Habitat for Humanity Southern Alberta,AJBHATFZ,Tier 5 ($5K–10K),,,"$30,649","$3,238","$33,887",,
"Mercy USA for Aid and Development (Canada), Inc.",AFFGAPPU,,,,"$31,092","$2,785","$33,876",,
Devin Booker Starting Five,AXVEYCXB,,"O50: Youth Development Programs, Other",,"$33,686",$159,"$33,845",Human Services,Human Services - Sports & Youth Development
OneEleven Global,ATPBNEPT,Tier 6 (<$5K),X20,47-1026291,"$9,881","$23,920","$33,800",Religion,Religion - Christian
BWA,AMQAJJMV,,,,"$32,334","$1,446","$33,779",,
Street Soccer USA - SAC,AHBURZHR,,,,"$26,099","$7,657","$33,756",,
San Diego Ducks Sled Hockey,AKSYUPVM,,,,"$31,983","$1,759","$33,742",,
PPGWNI,AMUUDCBM,Tier 5 ($5K–10K),,,"$30,440","$3,296","$33,736",,
Greater Good Charities Europe,AXDFZFJP,,,,"$31,139","$2,550","$33,689",,
Gorlin Syndrome Alliance,AABBNVUA,Tier 6 (<$5K),G20: Birth Defects and Genetic Diseases,34-1915691,"$31,193","$2,461","$33,654",Healthcare,Healthcare - General
Avista Adventist Hospital Foundation,AEDUCUNM,,,,"$32,647",$893,"$33,540",,
"Carpe Diem Arts, Inc.",ALMWUWJT,Tier 6 (<$5K),"A25: Arts Education, Schools of Art",81-4336754,"$21,033","$12,415","$33,448",Arts & Culture,Arts & Culture - General
Diabetes Research Connection,AJLUVGBV,Tier 6 (<$5K),H00: Medical Research: General,90-0815395,"$29,940","$3,495","$33,435",Healthcare,Healthcare - General
Los Cabos Humane Society,AJHVURRR,,,,"$22,014","$11,368","$33,382",,
Rodel Institute,AZPPKTEB,Tier 6 (<$5K),T23,92-0721362,"$32,307","$1,041","$33,347",Public and Society Benefit,Public & Society Benefit - General
IGNITE!,ADTJZDDF,Tier 6 (<$5K),,,"$32,179","$1,168","$33,347",,
Brass for Africa,AKYKDLVG,Tier 5 ($5K–10K),T20: Private Foundations,,"$23,346","$9,939","$33,285",Public and Society Benefit,Public & Society Benefit - General
The University of Fondwa USA,ANHGPAWY,Tier 6 (<$5K),"Q30: International Development, Relief Services",20-8625115,"$26,539","$6,698","$33,237",International Affairs,International Affairs - General
Haitian Education & Leadership Program,AFHDSCBY,Tier 5 ($5K–10K),Q33,02-0602245,"$4,583","$28,625","$33,208",International Affairs,International Affairs - General
Health & Medicine Policy Research Group,AVRSGYKR,Tier 6 (<$5K),G05: Voluntary Health Associations and Medical Disciplines Research Institutes and Public Policy Analysis,36-3143826,"$26,384","$6,725","$33,109",Healthcare,Healthcare - General
Waypoint Centre,ARXBFYCC,,,,"$30,731","$2,340","$33,071",,
MCC Freedom,ANVMYLSE,Tier 2 ($50K–$100K),,,$443,"$32,614","$33,056",,
Copper's Cat Commune,ADXNSKTC,Tier 6 (<$5K),,,"$8,944","$24,111","$33,055",,
LOOKOUT,AQMZWWEH,,,,"$8,559","$24,494","$33,053",,
Rebuilding Together South Sound,AZGZHWUX,Tier 6 (<$5K),L20,91-2147601,"$25,148","$7,811","$32,959",Human Services,"Human Services - Housing, Shelter"
Champions for Literacy,AKDNUSXY,Tier 6 (<$5K),B99,46-3588150,"$5,689","$27,195","$32,884",,
Toronto Islamic Centre,AQHYJZUY,Tier 6 (<$5K),,,"$23,145","$9,555","$32,699",,
True Charity Initiative,AUTCYSTK,,,,"$28,124","$4,571","$32,695",Public and Society Benefit,Public & Society Benefit - General
The Least of These International Mission,AUPAKNFK,Tier 6 (<$5K),,,"$10,856","$21,809","$32,665",Religion,Religion - Christian
Sea Shepherd Brasil,ATKKUAFE,,,,"$8,734","$23,790","$32,524",,
Hilfeverein Advita,AXZDMVJX,Tier 6 (<$5K),,,"$8,561","$23,666","$32,226",,
Greater Good Charities | Insulate Ukraine,ANJTKAQE,,,,"$31,208",$883,"$32,091",,
Step Up For Students,AKYDDHVZ,Tier 1 ($100K+),P20,87-3825479,"$17,351","$14,696","$32,048",Education,Education - General
The Ruth Bancroft Garden,AWYLQWZM,Tier 6 (<$5K),C41,68-0310041,"$29,848","$2,169","$32,017",Environment,Environment - General
Smiles for Recovery,ALUHSVAV,,F01,99-4360416,"$30,819","$1,151","$31,971",,
Paws and Stripes,AVEHPQBC,Tier 6 (<$5K),D99,27-2908352,"$30,244","$1,717","$31,962",Animal Welfare,Animal Welfare - General
Hearts for Moms,AQBJVKVR,Tier 6 (<$5K),P19,82-1615669,"$3,627","$28,262","$31,889",Human Services,"Human Services - Housing, Shelter"
RightNow,AVCEFHZQ,,W24,52-2227472,"$30,911",$949,"$31,860",,
Byron Community Centre,ATDYLRSZ,Tier 4 ($10K–$20K),,,"$18,730","$13,129","$31,859",,
Sea Hugger,AUFYXDEK,Tier 6 (<$5K),C27,83-1463002,"$24,580","$7,183","$31,763",Environment,Environment - General
PeacePlayers International,AQPLRXER,Tier 5 ($5K–10K),O500,52-2272092,"$31,749",$6,"$31,755",International Affairs,International Affairs - General
Warmth,AJVYXUNB,,E03,82-4842179,"$26,990","$4,744","$31,735",,
Breaking Barriers,AEVBYZZB,Tier 5 ($5K–10K),,,"$11,286","$20,355","$31,641",,
The American College of the Mediterranean,AMHLLPXK,Tier 4 ($10K–$20K),B43,82-2123116,"$31,518",$54,"$31,572",Education,Higher Education
Cycling UK,AKXGHDVQ,,,,"$16,325","$15,127","$31,452",,
Prytula Foundation USA,AHGEDRVH,,Q33: International Relief,99-1441326,"$26,711","$4,608","$31,319",International Affairs,International Affairs - General
"Two Small Coins, Inc.",AMJZSQXJ,,P20,93-1965619,"$29,646","$1,643","$31,289",Human Services,Human Services - General
Lifecycle Building Center,ACWJVQTV,Tier 5 ($5K–10K),K99,45-2645951,"$24,540","$6,677","$31,217",Environment,Environment - General
Kline Veterans Fund,AEJDNMJM,Tier 6 (<$5K),"L00: Housing, Shelter: General",,"$19,298","$11,867","$31,164",Human Services,"Human Services - Housing, Shelter"
Journey U,AUEFHRQG,Tier 6 (<$5K),X20: Christian,20-8748676,"$12,894","$18,257","$31,151",Religion,Religion - Christian
Sedona Symphony,AQTNJYFW,Tier 6 (<$5K),A69: Symphony Orchestras,20-3371497,"$30,996",$154,"$31,150",Arts & Culture,Arts & Culture - General
Najam Institute Foundation Inc,AJBREVHZ,Tier 4 ($10K–$20K),X40: Islamic,83-4231488,"$1,575","$29,550","$31,125",Religion,Religion - Islamic
Fields of Life EU,ACMRADCU,,,,"$20,431","$10,686","$31,117",,
Mukti Australia,ADWGFABB,Tier 4 ($10K–$20K),,,"$29,503","$1,607","$31,111",,
M4C Foundation,ARFDSHTK,,,,"$24,270","$6,776","$31,045",,
Liberty's Promise,AMNYNNRK,Tier 6 (<$5K),P80: Services to Promote the Independence of Specific Population Groups,27-0058022,"$24,328","$6,708","$31,036",Human Services,"Human Services - Housing, Shelter"
Premier Insight,AJMCAXQV,,,,"$30,893",$115,"$31,008",,
Jen Miskov Ministries,AJQGCNCT,Tier 6 (<$5K),X20: Christian,,"$17,403","$13,570","$30,974",Religion,Religion - Christian
Lewis Latimer House,AXXNUGUB,Tier 6 (<$5K),,,"$28,654","$2,309","$30,963",,
Do Cancer,ANKALPSH,,W01,88-0984956,"$28,795","$2,131","$30,926",,
All Israel News,AMARKAWT,Tier 5 ($5K–10K),,,"$29,142","$1,731","$30,873",,
Oikodome Foundation,AQJGBQJQ,Tier 6 (<$5K),,,"$10,582","$20,234","$30,815",,
Phoenix Oasis,AKYDFCDF,,,,"$30,767",$0,"$30,767",,
Backpacks For Life,ARZKVCHE,Tier 6 (<$5K),T19,47-1281873,"$25,210","$5,502","$30,712",Public and Society Benefit,Public & Society Benefit - General
On Point For College,ALYGYEYX,Tier 6 (<$5K),B82,16-1569356,"$11,825","$18,809","$30,634",Education,Education - General
Family Promise of Greater Cleveland,AGMMYWQQ,Tier 6 (<$5K),P85: Homeless Persons Centers and Services,34-1598710,"$22,291","$8,253","$30,545",Human Services,"Human Services - Housing, Shelter"
SRM,APWLDPTB,Tier 4 ($10K–$20K),P20,39-3500570,"$19,485","$10,996","$30,482",,
Orthodox Volunteer Corps,AHNKAKPN,,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",86-1674798,"$21,453","$8,981","$30,433",Public and Society Benefit,Public & Society Benefit - General
Self Help Africa,ALXJHQVW,Tier 6 (<$5K),"Q30: International Development, Relief Services",27-0580530,"$30,216",$197,"$30,413",International Affairs,International Affairs - General
Kingdom Come Ministries,AFYLAAMD,,,,"$25,402","$5,003","$30,405",,
St. Mary's Sewanee,AWVEPFNG,Tier 6 (<$5K),,,"$28,337","$2,014","$30,351",Religion,Religion - General
Day One Trauma Support,AGTZFAWW,Tier 6 (<$5K),,,"$27,631","$2,704","$30,335",,
Meros Center,AESJAJUK,,,,"$29,036","$1,274","$30,310",,
Daily Table,AHXVYYYX,Tier 5 ($5K–10K),,,"$12,757","$17,528","$30,285",Food & Nutrition,Food Banks
Luther Seminary,AFXRBTDM,Tier 6 (<$5K),B43: University or Technological Institute,41-1746301,"$29,688",$595,"$30,283",Education,Higher Education
Leventhal Map & Education Center,AGBYXHFF,Tier 6 (<$5K),,,"$16,897","$13,296","$30,193",,
Buddhist Studies Institute,AEZVZZCJ,Tier 6 (<$5K),,,"$24,769","$5,384","$30,153",,
Hollywood Cinema Production Resources,APGFDJDQ,Tier 6 (<$5K),J22,95-4667926,"$30,110",$0,"$30,110",Arts & Culture,Arts & Culture - Media
AMDG,AFZFRLJV,,,,"$28,414","$1,630","$30,044",,
"Good Food Works, Inc.",AQVRQAED,,P20,87-1389689,"$29,999",$22,"$30,021",,
Be Strong,AKMCZGAA,Tier 4 ($10K–$20K),"F40: Hot Line, Crisis Intervention Services",,"$26,324","$3,678","$30,003",Healthcare,"Healthcare - Mental Health, Abuse"
Physicians for Peace,AXZGSDHH,Tier 5 ($5K–10K),Q300,54-1532165,"$19,698","$10,262","$29,960",,
Buddha Dog Rescue & Recovery,AZRUKBFD,Tier 6 (<$5K),D20,84-2787024,"$14,679","$15,280","$29,959",Animal Welfare,Animal Welfare - General
Eugene Symphony,AGBPLPGD,Tier 6 (<$5K),A11,87-1426618,"$29,848",$11,"$29,860",Arts & Culture,Arts & Culture - General
Connected North / TakingITGlobal,ANFTSWCF,Tier 4 ($10K–$20K),,,"$27,004","$2,850","$29,854",,
"SON CARE FOUNDATION, INC.",ATWTXYDH,Tier 6 (<$5K),T20: Private Foundations,75-2547239,"$16,518","$13,324","$29,842",Public and Society Benefit,Public & Society Benefit - General
Brazos Christian School,ABKJLDWU,Tier 6 (<$5K),B24Z,74-2199163,"$29,149",$688,"$29,837",Education,K-12 Education
YWAM Fire and Fragrance Nashville,AMADUWJX,Tier 6 (<$5K),X20: Christian,93-4503695,"$29,328",$430,"$29,758",Religion,Religion - Christian
